,Open,High,Low,Close,Volume
2025-01-29,325.3631910103989,325.86015631503295,322.18260092779883,325.32342529296875,1650100.0
2025-01-30,324.68730437983226,333.195347415783,323.6536081202967,333.0661315917969,1381400.0
2025-01-31,334.36820335496935,335.9485494001347,331.30688006070716,333.2251892089844,2367600.0
2025-02-03,328.87176395361104,337.04187475287466,327.19201880192674,336.01812744140625,1789800.0
2025-02-04,335.25277179248593,339.06949190409074,333.09595942456275,333.6326904296875,2022100.0
2025-02-05,331.8734081255454,334.0302507883328,328.4741825943327,331.1279602050781,2117800.0
2025-02-06,327.92752122984456,334.59681751008077,316.0401195420325,326.1384582519531,2662800.0
2025-02-07,317.95839159553896,318.1174241307823,305.6535259638199,308.5558166503906,2902800.0
2025-02-10,308.81424446866316,309.4006598731259,302.0753963249049,308.6651306152344,2782700.0
2025-02-11,307.5122034713221,309.85786513219915,305.68334447141365,307.611572265625,1265900.0
2025-02-12,304.64967974186845,309.5298826570581,304.64967974186845,308.46636962890625,1372800.0
2025-02-13,310.3647692806913,314.20132671871784,308.3669591300147,313.2471618652344,900300.0
2025-02-14,314.47962380700665,316.47743394333986,313.157709505544,314.2013244628906,1171400.0
2025-02-17,314.47962380700665,316.47743394333986,313.157709505544,314.2013244628906,1171400.0
2025-02-18,314.08205820558953,315.4238705333816,309.78827088959633,315.07598876953125,1260200.0
2025-02-19,312.90922565434107,315.29465292787097,311.50777992720833,315.12567138671875,971500.0
2025-02-20,314.25104089080673,315.77175344587516,311.55746721343195,312.37249755859375,1073500.0
2025-02-21,312.1438797035256,312.8495922392184,304.6198484297265,308.0091552734375,1392900.0
2025-02-24,306.9953436995883,309.43048583529617,303.8346516288249,307.51220703125,933100.0
2025-02-25,307.87000990552013,316.31842018541334,307.87000990552013,315.4338073730469,1257300.0
2025-02-26,315.374171814783,315.45370325005354,311.14004802345926,311.94512939453125,950000.0
2025-02-27,310.8120220204159,313.98266298538795,309.440392971951,310.51385498046875,1048100.0
2025-02-28,311.36861527384684,314.8175555266003,309.36088646447166,314.23114013671875,1375100.0
2025-03-03,317.1334351362187,319.5188624444164,307.55192985510354,308.7645263671875,1222500.0
2025-03-04,309.3608883688302,310.44426904484186,302.8208385970999,303.4967041015625,1618600.0
2025-03-05,305.196318039534,313.008628083392,303.71537119832476,309.6888732910156,2285900.0
2025-03-06,308.6452489840407,310.75237687300944,306.1206569225626,309.0726318359375,1378200.0
