,Open,High,Low,Close,Volume
2025-01-29,360.0,370.6390075683594,352.2200012207031,366.3399963378906,3346800.0
2025-01-30,377.989990234375,385.6600036621094,357.010009765625,365.510009765625,4018500.0
2025-01-31,371.0400085449219,379.0,364.5,369.5899963378906,3357600.0
2025-02-03,353.510009765625,369.4800109863281,349.2200012207031,365.44000244140625,3549600.0
2025-02-04,373.7699890136719,390.67999267578125,370.75,380.260009765625,5255600.0
2025-02-05,377.3699951171875,378.6499938964844,363.010009765625,368.2699890136719,3978500.0
2025-02-06,369.57000732421875,381.7900085449219,365.6000061035156,380.6300048828125,3014500.0
2025-02-07,385.8800048828125,393.6300048828125,374.5799865722656,375.7200012207031,3119700.0
2025-02-10,387.20001220703125,396.614990234375,373.20001220703125,384.3999938964844,4593700.0
2025-02-11,381.6000061035156,383.3399963378906,366.9599914550781,375.25,4253900.0
2025-02-12,375.92999267578125,390.2099914550781,372.00299072265625,380.32000732421875,9393000.0
2025-02-13,499.3399963378906,525.1500244140625,449.0,471.6700134277344,19398900.0
2025-02-14,473.55999755859375,516.989990234375,462.79998779296875,510.1300048828125,11344800.0
2025-02-17,473.55999755859375,516.989990234375,462.79998779296875,510.1300048828125,11344800.0
2025-02-18,514.0999755859375,519.7899780273438,487.989990234375,496.0,7330000.0
2025-02-19,502.739990234375,507.0,481.1199951171875,494.1700134277344,5052300.0
2025-02-20,488.9100036621094,494.5400085449219,427.1300048828125,450.010009765625,11209300.0
2025-02-21,452.7699890136719,456.760009765625,412.18499755859375,415.30999755859375,7658100.0
2025-02-24,411.8599853515625,426.489990234375,395.010009765625,410.45001220703125,8103500.0
2025-02-25,406.70001220703125,406.70001220703125,367.1199951171875,377.05999755859375,11330300.0
2025-02-26,328.4700012207031,343.1700134277344,288.9150085449219,331.0,31783300.0
2025-02-27,346.44000244140625,349.92401123046875,310.0,320.489990234375,11883600.0
2025-02-28,313.0,331.55999755859375,306.1000061035156,325.739990234375,9099600.0
2025-03-03,350.239990234375,359.70001220703125,332.0,337.3399963378906,10950600.0
2025-03-04,324.0,341.0,307.5660095214844,327.2300109863281,9225400.0
2025-03-05,323.0,326.27398681640625,310.510009765625,318.0,8128700.0
2025-03-06,305.760009765625,306.5,258.5140075683594,259.6300048828125,16179500.0
2025-03-07,256.1449890136719,278.6000061035156,247.5,270.4800109863281,14654300.0
2025-03-10,246.52999877929688,255.60000610351562,234.55999755859375,238.0800018310547,16713700.0
2025-03-11,239.8000030517578,261.45001220703125,236.0,257.760009765625,12850800.0
2025-03-12,285.0,292.42999267578125,261.010009765625,272.5899963378906,12741300.0
2025-03-13,272.875,275.0,260.92999267578125,272.0,7266100.0
2025-03-14,284.17999267578125,298.010009765625,282.3900146484375,292.8900146484375,10061800.0
2025-03-17,297.760009765625,314.79998779296875,293.510009765625,306.8500061035156,8871500.0
2025-03-18,299.5,302.0,275.7200012207031,278.8399963378906,8636600.0
2025-03-19,286.19500732421875,300.20001220703125,277.5,297.0299987792969,6935500.0
2025-03-20,293.82000732421875,315.4079895019531,292.4049987792969,306.739990234375,8401500.0
2025-03-21,301.04998779296875,315.2699890136719,296.1300048828125,314.0299987792969,9505700.0
2025-03-24,328.0899963378906,342.3800048828125,323.5,339.7200012207031,9119900.0
2025-03-25,341.0,352.0,332.0400085449219,346.2900085449219,7757500.0
2025-03-26,340.5,343.20001220703125,322.1000061035156,327.6199951171875,8294500.0
2025-03-27,322.04998779296875,326.010009765625,252.50999450683594,261.70001220703125,20188900.0
2025-03-28,286.80999755859375,286.9100036621094,264.07000732421875,272.3800048828125,15471800.0
2025-03-31,255.92999267578125,268.3999938964844,244.0,264.9700012207031,10510400.0
