,Open,High,Low,Close,Volume
2025-01-29,145.10000610351562,147.3800048828125,143.33999633789062,144.41000366210938,1484400.0
2025-01-30,145.83999633789062,147.63999938964844,145.24000549316406,146.22999572753906,1110800.0
2025-01-31,145.1999969482422,147.39999389648438,143.6300048828125,143.92999267578125,1402200.0
2025-02-03,142.80999755859375,144.5,141.63999938964844,142.33999633789062,1110600.0
2025-02-04,141.0800018310547,143.97999572753906,141.07000732421875,142.49000549316406,1055800.0
2025-02-05,142.89999389648438,147.0,142.63999938964844,145.52999877929688,1173500.0
2025-02-06,145.17999267578125,145.97999572753906,141.69000244140625,142.3699951171875,1329300.0
2025-02-07,141.83999633789062,143.69000244140625,140.75,141.35000610351562,1154100.0
2025-02-10,141.6300048828125,142.67999267578125,140.05999755859375,142.5399932861328,1523700.0
2025-02-11,140.66000366210938,141.55999755859375,138.72000122070312,139.38999938964844,1910100.0
2025-02-12,136.75999450683594,137.7899932861328,128.50999450683594,133.42999267578125,3538200.0
2025-02-13,132.14999389648438,139.10000610351562,132.14999389648438,138.4499969482422,2257400.0
2025-02-14,140.13999938964844,141.69000244140625,136.0500030517578,137.3300018310547,1692200.0
2025-02-17,140.13999938964844,141.69000244140625,136.0500030517578,137.3300018310547,1692200.0
2025-02-18,138.13999938964844,139.16000366210938,135.94000244140625,136.57000732421875,1327600.0
2025-02-19,135.9499969482422,137.7899932861328,135.02000427246094,136.67999267578125,1548400.0
2025-02-20,137.19000244140625,138.94000244140625,136.52000427246094,137.0800018310547,2056500.0
2025-02-21,138.0,141.5,137.55999755859375,140.63999938964844,1814000.0
2025-02-24,141.27999877929688,144.1699981689453,139.35000610351562,141.27000427246094,1565400.0
2025-02-25,140.0,145.69000244140625,139.94000244140625,143.4600067138672,1580300.0
2025-02-26,143.08999633789062,143.08999633789062,139.0399932861328,140.49000549316406,1310200.0
2025-02-27,140.05999755859375,142.9600067138672,139.58999633789062,139.8800048828125,1215900.0
2025-02-28,141.05999755859375,141.89999389648438,138.3800048828125,140.5,2324300.0
2025-03-03,140.41000366210938,142.55999755859375,140.07000732421875,141.7100067138672,1617100.0
2025-03-04,143.41000366210938,148.0,141.52000427246094,142.64999389648438,2790700.0
2025-03-05,142.85000610351562,144.74000549316406,141.92999267578125,143.77000427246094,1185000.0
2025-03-06,143.64999389648438,147.64999389648438,142.22999572753906,147.3699951171875,1145200.0
2025-03-07,147.4199981689453,154.2899932861328,146.6300048828125,150.3800048828125,2925500.0
2025-03-10,150.2899932861328,157.08999633789062,150.13999938964844,150.7100067138672,2651100.0
2025-03-11,151.1300048828125,151.88999938964844,142.02000427246094,143.66000366210938,1857200.0
2025-03-12,142.00999450683594,143.1300048828125,140.02000427246094,140.19000244140625,2438000.0
2025-03-13,140.36000061035156,143.5,139.0500030517578,139.97999572753906,1300900.0
2025-03-14,139.66000366210938,140.8000030517578,138.6300048828125,139.44000244140625,1436800.0
2025-03-17,140.0500030517578,143.85000610351562,139.16000366210938,143.5399932861328,1249000.0
2025-03-18,143.1699981689453,145.97000122070312,142.89999389648438,143.08999633789062,1506900.0
2025-03-19,143.08999633789062,144.25,140.72999572753906,141.42999267578125,1180400.0
2025-03-20,141.13999938964844,142.9499969482422,140.91000366210938,141.3800048828125,971800.0
2025-03-21,141.24000549316406,142.17999267578125,139.8699951171875,140.89999389648438,3437600.0
2025-03-24,141.47000122070312,144.14999389648438,140.6300048828125,141.60000610351562,1830500.0
2025-03-25,142.2100067138672,142.49000549316406,138.64999389648438,139.16000366210938,1766200.0
2025-03-26,139.33999633789062,142.9600067138672,139.16000366210938,142.42999267578125,1514600.0
2025-03-27,142.77000427246094,144.07000732421875,139.69000244140625,140.3300018310547,1383500.0
2025-03-28,140.60000610351562,141.25,138.1999969482422,138.3699951171875,1094000.0
2025-03-31,137.89999389648438,138.0,134.7100067138672,136.83999633789062,1865400.0
2025-04-01,136.8000030517578,137.32000732421875,131.6300048828125,132.02999877929688,1352400.0
2025-04-02,132.5800018310547,134.0,128.75,131.32000732421875,1944900.0
2025-04-03,132.3699951171875,133.77000427246094,130.0500030517578,130.7100067138672,1755600.0
2025-04-04,129.22000122070312,129.9499969482422,122.7699966430664,122.9800033569336,3090700.0
2025-04-07,121.80999755859375,123.7699966430664,117.4000015258789,119.19000244140625,2520100.0
2025-04-08,119.7699966430664,120.79000091552734,112.87999725341797,114.05000305175781,2091100.0
2025-04-09,110.30999755859375,121.08000183105469,110.04000091552734,120.48999786376953,3321400.0
2025-04-10,117.44999694824219,118.83000183105469,110.23999786376953,113.37999725341797,2420900.0
