,Open,High,Low,Close,Volume
2025-01-29,153.10407717653604,153.83578643006257,150.18715279577967,151.3044891357422,1230300.0
2025-01-30,153.41059461142007,154.8047906070242,151.54178415967982,152.9755401611328,2228500.0
2025-01-31,152.85688039550388,153.8852293542163,151.531906821511,152.27349853515625,2292200.0
2025-02-03,151.28469808447957,152.35259188148476,148.94127327555537,151.02761840820312,894500.0
2025-02-04,149.40600971607063,151.16605276154894,149.14891494439584,150.29591369628906,1153400.0
2025-02-05,152.44158670718542,153.67757286303376,151.16605563294743,153.2622833251953,1202900.0
2025-02-06,154.05330937363883,154.32028659381135,153.2919377171502,154.30050659179688,767400.0
2025-02-07,154.0631958105458,155.37828685564455,153.1831742946793,154.25106811523438,1192100.0
2025-02-10,154.58725953731343,154.86411923399493,153.25240351853938,154.80479431152344,810800.0
2025-02-11,154.12252218240783,155.7639153898945,153.20295574054833,155.7342529296875,942700.0
2025-02-12,152.45147002254475,154.08298081007644,151.3341487910225,153.0645294189453,764300.0
2025-02-13,153.054630866088,154.5674918001039,152.53057394352706,154.20162963867188,816100.0
2025-02-14,154.79491257336608,155.42773689554053,153.08431192069045,153.1831817626953,1409700.0
2025-02-17,154.79491257336608,155.42773689554053,153.08431192069045,153.1831817626953,1409700.0
2025-02-18,153.064527308504,154.11264114607334,152.40204054490306,153.2029571533203,751000.0
2025-02-19,152.54046071111478,152.79754038154164,151.68020414859774,152.0460662841797,1233600.0
2025-02-20,151.7889770946903,154.3598342441576,151.4824549527805,154.19174194335938,1461800.0
2025-02-21,154.36972194517995,154.65647918218673,152.2636117972786,154.20162963867188,1124700.0
2025-02-24,153.9939821068538,158.1864372067365,152.72833357620385,157.25697326660156,1550900.0
2025-02-25,158.4534266568625,160.94517899484296,157.3064278724897,159.4718780517578,1438100.0
2025-02-26,159.05658938832397,159.68941370600297,151.28470772147648,152.18450927734375,2297300.0
2025-02-27,152.02629973413212,153.49960068833872,151.4528003376166,151.7296600341797,1340900.0
2025-02-28,152.0559636193525,153.94455413609032,149.2972490857199,150.84963989257812,3524100.0
2025-03-03,150.72108745483297,152.7777702137925,149.87074346998202,152.26361083984375,2069400.0
2025-03-04,152.98542558426132,154.69602622120794,151.5121246361219,151.6999969482422,1188200.0
2025-03-05,150.4640026644396,155.51671446507714,150.16736298170193,155.32884216308594,1251700.0
2025-03-06,154.7949051502023,155.20031221983024,151.8680833706745,153.3117218017578,1054900.0
2025-03-07,154.03353503156234,156.14954269323874,152.78766643784604,155.5068359375,1807200.0
2025-03-10,155.5364914700515,158.77971773998377,153.58857619913402,154.0137481689453,1506400.0
2025-03-11,153.73689166055937,154.07309134822646,149.83117858120218,150.14759826660156,1889000.0
2025-03-12,150.2563757830809,151.2056047278675,147.3888787696751,147.54708862304688,909000.0
2025-03-13,147.9623637379366,148.97093259513855,142.75144224473402,142.87998962402344,1233200.0
2025-03-14,142.8800048828125,145.14999389648438,142.25,144.99000549316406,1543800.0
2025-03-17,144.69000244140625,147.1300048828125,144.22000122070312,146.6300048828125,1125200.0
2025-03-18,145.74000549316406,148.0399932861328,145.25,147.9199981689453,1336600.0
2025-03-19,147.02999877929688,148.49000549316406,145.50999450683594,146.7899932861328,1192100.0
2025-03-20,147.44000244140625,147.99000549316406,145.5,145.8699951171875,1288200.0
2025-03-21,145.57000732421875,145.57000732421875,143.3800048828125,143.8000030517578,1769800.0
2025-03-24,144.3800048828125,146.4199981689453,143.91000366210938,145.99000549316406,1248200.0
2025-03-25,146.11000061035156,146.77999877929688,143.0,144.58999633789062,1034900.0
2025-03-26,145.1999969482422,146.0,143.6999969482422,145.5800018310547,532700.0
2025-03-27,146.3300018310547,148.44000244140625,144.7899932861328,145.19000244140625,650400.0
2025-03-28,146.38999938964844,146.38999938964844,144.60000610351562,145.4600067138672,612700.0
2025-03-31,146.0800018310547,149.42999267578125,146.0800018310547,148.49000549316406,1355000.0
2025-04-01,149.2100067138672,149.6699981689453,146.4499969482422,147.83999633789062,830000.0
2025-04-02,147.32000732421875,148.14999389648438,145.4499969482422,147.47000122070312,1442500.0
2025-04-03,146.0500030517578,148.5399932861328,143.39999389648438,144.16000366210938,1530000.0
2025-04-04,142.83999633789062,144.2899932861328,137.89999389648438,138.2100067138672,1378900.0
2025-04-07,137.47999572753906,138.80999755859375,130.74000549316406,132.3800048828125,1775800.0
