,Open,High,Low,Close,Volume
2025-01-29,143.51394051595224,145.57696071036554,143.39435043185327,144.67002868652344,1353000.0
2025-01-30,145.50718413261765,146.72306729880168,144.44078856584815,145.35769653320312,1683100.0
2025-01-31,144.93910597750494,144.93910597750494,138.11223670025646,138.5607147216797,3253500.0
2025-02-03,138.11223302074964,139.84636522564188,136.74686224313223,138.36138916015625,2184300.0
2025-02-04,137.37473702030027,142.77644075572542,137.37473702030027,142.29806518554688,2085000.0
2025-02-05,142.3678232786937,143.36444783029174,141.4110570179547,142.25819396972656,1336700.0
2025-02-06,143.51394803690232,144.51057267604747,140.5938451437039,141.450927734375,1595900.0
2025-02-07,142.29805594911272,143.6734027322994,141.76984613965666,142.45751953125,1079000.0
2025-02-10,143.8826899343488,145.606861457156,143.8826899343488,145.3377685546875,2831500.0
2025-02-11,146.03539992348755,148.1083808950985,145.67661446287633,146.50381469726562,1801600.0
2025-02-12,145.74639067283877,146.95229795332543,144.12188766733163,144.31124877929688,1740800.0
2025-02-13,143.61360357270942,145.45734986371824,142.63690056558863,145.35769653320312,1360000.0
2025-02-14,146.00550935461104,148.6664953111485,145.54705533027848,146.0553436279297,1650400.0
2025-02-17,146.00550935461104,148.6664953111485,145.54705533027848,146.0553436279297,1650400.0
2025-02-18,146.4440132125918,148.27779872736082,145.28792508956118,147.4705352783203,1873400.0
2025-02-19,148.24791000493838,149.74284691255122,147.87916376739162,148.7661590576172,2026600.0
2025-02-20,149.18473722529532,150.7893034225728,148.5967323672785,150.45045471191406,1023700.0
2025-02-21,149.29435955604066,150.58997450316468,147.45059806890836,147.6100616455078,1737900.0
2025-02-24,148.45720740352138,149.26447089796713,147.6100704089167,148.24790954589844,1534800.0
2025-02-25,148.287765075933,149.35416067968941,146.25465761696026,146.4539794921875,1816600.0
2025-02-26,147.00211999300993,147.00211999300993,144.31123677018783,144.97897338867188,1679300.0
2025-02-27,145.7563476498599,148.5170020480029,144.76968382191532,146.41412353515625,1998600.0
2025-02-28,146.4938561796576,148.69638804087003,144.83945568542762,148.43727111816406,2402200.0
2025-03-03,149.2843949818925,150.0119419029739,142.15853503928636,143.6036376953125,2527800.0
2025-03-04,142.32795856438784,144.36108129120188,140.34468531697073,141.9093780517578,3059600.0
2025-03-05,140.3347052261768,141.23167647605982,137.982670599875,140.8629150390625,1967400.0
2025-03-06,141.07221925980224,143.6435126271938,139.42777949777482,142.85617065429688,2253200.0
2025-03-07,143.0455279228103,147.89908486870556,143.0455279228103,146.93235778808594,1408400.0
2025-03-10,148.66649288020062,150.39064921638075,145.86598012853506,147.73963928222656,2121000.0
2025-03-11,148.5369269833413,148.78608313886085,143.72324344111388,144.12188720703125,3187800.0
2025-03-12,143.63353106434073,144.66005317559998,142.05886238704875,143.54383850097656,1534100.0
2025-03-13,142.69669645639027,144.88928264277155,142.59704312528083,143.4342041015625,1542500.0
2025-03-14,143.9026234542197,147.8592242796962,143.0853992009766,147.6300048828125,1960000.0
2025-03-17,148.42999267578125,151.1300048828125,147.91000366210938,150.4499969482422,2394600.0
2025-03-18,152.0,153.08999633789062,150.6199951171875,152.82000732421875,1474400.0
2025-03-19,152.82000732421875,157.10000610351562,152.8000030517578,156.3800048828125,2999400.0
2025-03-20,155.27000427246094,157.77999877929688,154.86000061035156,157.3699951171875,1796400.0
2025-03-21,156.52999877929688,157.0,155.39999389648438,156.5800018310547,2696300.0
2025-03-24,156.5800018310547,158.52999877929688,156.47999572753906,157.35000610351562,2349100.0
2025-03-25,157.7100067138672,160.0800018310547,157.7100067138672,158.2899932861328,1540600.0
2025-03-26,159.8800048828125,161.6300048828125,159.75999450683594,160.52000427246094,2513600.0
2025-03-27,160.11000061035156,160.64999389648438,158.1699981689453,159.07000732421875,2169300.0
2025-03-28,158.58999633789062,159.74000549316406,157.66000366210938,158.4499969482422,1819900.0
2025-03-31,157.99000549316406,161.69000244140625,157.99000549316406,159.72999572753906,2270000.0
2025-04-01,159.9600067138672,161.5,158.75999450683594,161.2899932861328,1566500.0
2025-04-02,159.47999572753906,160.72000122070312,158.91000366210938,160.02000427246094,1479200.0
2025-04-03,152.77999877929688,154.13999938964844,148.13999938964844,148.3800048828125,3911500.0
2025-04-04,142.8800048828125,144.85000610351562,133.44000244140625,133.55999755859375,3996000.0
2025-04-07,128.02000427246094,137.2899932861328,127.12000274658203,130.58999633789062,2970200.0
2025-04-08,134.6699981689453,135.5399932861328,125.63999938964844,127.51000213623047,2824200.0
2025-04-09,124.62999725341797,139.61000061035156,124.43000030517578,137.97000122070312,2863900.0
2025-04-10,134.5,135.02999877929688,125.33000183105469,127.16000366210938,2355500.0
2025-04-11,127.16000366210938,130.05999755859375,124.33999633789062,128.5,2252800.0
2025-04-14,131.61000061035156,131.6300048828125,126.7300033569336,127.91000366210938,1696800.0
2025-04-15,127.80000305175781,128.77999877929688,126.9000015258789,127.20999908447266,1672800.0
2025-04-16,127.95999908447266,130.13999938964844,127.36000061035156,127.94999694824219,1710100.0
2025-04-17,129.77000427246094,133.16000366210938,129.50999450683594,130.63999938964844,1091700.0
2025-04-18,129.77000427246094,133.16000366210938,129.50999450683594,130.63999938964844,1091700.0
2025-04-21,128.74000549316406,129.24000549316406,124.91999816894531,126.31999969482422,1654700.0
2025-04-22,128.5,131.25999450683594,127.70999908447266,130.3800048828125,1431000.0
2025-04-23,131.13999938964844,132.1699981689453,128.55999755859375,130.02999877929688,1352800.0
2025-04-24,131.60000610351562,133.02000427246094,130.80999755859375,132.3800048828125,2478600.0
2025-04-25,131.17999267578125,132.5500030517578,130.92999267578125,132.33999633789062,1097300.0
2025-04-28,132.0399932861328,134.39999389648438,132.0399932861328,133.83999633789062,2140000.0
2025-04-29,132.10000610351562,133.72000122070312,132.10000610351562,132.5399932861328,1905900.0
2025-04-30,129.94000244140625,131.58999633789062,127.25,129.0500030517578,2480600.0
2025-05-01,127.68000030517578,131.4199981689453,127.48999786376953,129.7899932861328,1543100.0
2025-05-02,131.63999938964844,133.30999755859375,129.2100067138672,132.30999755859375,1729600.0
2025-05-05,130.61000061035156,130.8800048828125,128.63999938964844,128.8000030517578,1996200.0
2025-05-06,130.0500030517578,131.02000427246094,128.42999267578125,128.8699951171875,1364200.0
2025-05-07,129.02000427246094,129.6199951171875,128.1300048828125,129.08999633789062,842400.0
