,Open,High,Low,Close,Volume
2025-01-29,598.6044764518092,602.4876475537789,589.1609489447474,591.9560546875,1457500.0
2025-01-30,594.3020336701037,604.6039868234149,592.664878436374,603.5458374023438,1219700.0
2025-01-31,603.8253620138222,609.8348852968601,598.8140951736152,600.4612426757812,1640100.0
2025-02-03,599.353166733078,600.7806660731571,583.9899861192674,599.7125244140625,2244500.0
2025-02-04,595.3002944362457,607.4190817638994,589.0911074649694,590.6882934570312,1737500.0
2025-02-05,592.3853517011918,592.5550991738917,579.0885678876032,587.234375,2134400.0
2025-02-06,587.2343395537436,594.122272390401,584.7786067920077,589.1709594726562,1533900.0
2025-02-07,589.5602796693407,595.1404988781084,576.2135354204752,577.8406982421875,1430900.0
2025-02-10,573.9974504895428,587.7733771155443,573.9974504895428,585.8168334960938,1571300.0
2025-02-11,580.0768938283057,590.9478607593863,580.0768938283057,584.8585205078125,1856700.0
2025-02-12,577.0620905578404,579.9569975911926,567.718425177993,575.5347290039062,1737800.0
2025-02-13,579.547754699176,590.9678107770164,577.9904770944131,582.8819580078125,1609900.0
2025-02-14,583.6705836282049,590.3589142288054,579.0786281924888,586.3558959960938,1348800.0
2025-02-17,583.6705836282049,590.3589142288054,579.0786281924888,586.3558959960938,1348800.0
2025-02-18,588.8315196744637,589.0111985193465,575.055593208152,578.9288330078125,2053900.0
2025-02-19,577.7309298095195,581.8637261474712,574.5864585400907,581.1749267578125,2063000.0
2025-02-20,582.0035064629323,585.0780925209223,572.3902917854016,578.0703735351562,2703900.0
2025-02-21,579.5377947979944,581.1350417439634,560.2714566697537,564.4840698242188,2006400.0
2025-02-24,564.97323999483,571.7513793274125,562.3178437289297,566.2509765625,2040900.0
2025-02-25,566.3208833003549,570.4237028252444,552.2754072639996,554.6612548828125,3014500.0
2025-02-26,634.3919442786726,637.8758493774905,614.3669232662072,624.4193725585938,4674200.0
2025-02-27,623.9102679897017,626.8950449631665,598.5845072657627,599.3731079101562,2451700.0
2025-02-28,599.8722579918937,613.777963240309,597.3267161914496,612.769775390625,2444400.0
2025-03-03,616.7827113066302,619.7275799995025,598.3549363615231,600.0419921875,1597400.0
2025-03-04,603.22641595377,607.838355718696,586.2560568916869,597.0272216796875,2308200.0
2025-03-05,607.8582999032806,617.3218124719381,600.1617816753989,616.433349609375,1615200.0
2025-03-06,611.9511737448148,618.7692212654936,601.0701543302561,605.312744140625,1671000.0
2025-03-07,604.8036573345306,613.5583861755803,593.4934552664104,608.547119140625,1689700.0
2025-03-10,602.8371138919242,605.2927858121044,574.4367051534865,578.7691650390625,2375900.0
2025-03-11,578.7691627600772,594.0723905060903,576.3733228716021,585.6870727539062,1909300.0
2025-03-12,587.983022918744,596.2286306856869,584.5690030268846,590.1093139648438,1874700.0
2025-03-13,585.0581680576955,585.1579693330393,562.7371071185144,580.3064575195312,2269800.0
2025-03-14,588.1926070336963,600.4911331988211,585.8068205424339,597.7559204101562,2063100.0
2025-03-17,594.3818425299976,604.2745981383472,590.8879449307144,601.0601806640625,1558800.0
2025-03-18,597.8558174891944,600.5111528607014,590.7681600751541,597.985595703125,1230400.0
2025-03-19,604.7237991360331,607.978063862399,596.4681991030121,602.0584106445312,1247700.0
2025-03-20,598.0653944255994,604.524145202772,595.0507014422143,599.3731079101562,1088200.0
2025-03-21,591.9560945948064,604.1947286697006,588.9913021237093,602.98681640625,2391400.0
2025-03-24,608.9364179734783,613.2189160934057,604.2346082872396,612.0210571289062,1703000.0
2025-03-25,610.4537769357075,619.8473429081607,604.1647128344924,617.6411743164062,1126500.0
2025-03-26,617.7011731323628,619.1885655370191,612.0011067046709,613.7879638671875,1715500.0
2025-03-27,614.4168440115417,619.527912089284,611.2423958566832,614.2271728515625,1206200.0
2025-03-28,610.5037008108455,612.7198008708849,594.5116130796608,597.875732421875,1574600.0
2025-03-31,599.2933300513556,616.9225129160051,592.694808324194,612.9194946289062,3071400.0
2025-04-01,609.8049393858029,616.044042470953,605.0931979816932,612.7098999023438,1826500.0
2025-04-02,604.0050520379905,623.9102883134938,603.905250763356,619.827392578125,1604500.0
2025-04-03,602.9468836207195,615.3452114192316,597.1570085134204,597.4864501953125,2833900.0
2025-04-04,587.0745841765786,593.1739772911739,559.9619662510526,560.5509643554688,3335200.0
2025-04-07,547.054510757877,574.8859046362793,531.7213067615834,555.2701416015625,2834700.0
2025-04-08,563.6455492843945,567.6185904937709,536.6127473163098,543.1213989257812,2764000.0
2025-04-09,540.59578929257,597.5064006551702,538.1800256842101,595.4400024414062,2883800.0
2025-04-10,583.0800170898438,585.969970703125,558.6599731445312,577.469970703125,2289100.0
2025-04-11,573.2899780273438,588.4600219726562,569.469970703125,587.0399780273438,1479900.0
2025-04-14,600.0,600.0,585.8200073242188,593.5499877929688,1227400.0
2025-04-15,598.969970703125,600.5599975585938,591.3499755859375,594.0800170898438,1177800.0
2025-04-16,587.6500244140625,598.0700073242188,581.0800170898438,588.0800170898438,1985500.0
2025-04-17,592.0,593.9099731445312,584.8300170898438,585.3800048828125,1639800.0
2025-04-18,592.0,593.9099731445312,584.8300170898438,585.3800048828125,1639800.0
