,Open,High,Low,Close,Volume
2021-11-29,121.2830820714965,122.22358473959098,119.69084030974065,120.52408599853516,663138.0
2021-11-30,119.58360207043272,120.3673480887807,117.20759907270856,117.61185455322266,1131045.0
2021-12-01,119.33608728883853,119.50108643883698,114.30359814547054,114.49334716796875,796723.0
2021-12-02,114.46859001303044,118.00783662374731,113.94884272360143,117.1745834350586,643148.0
2021-12-03,117.60360204624565,118.23059884733479,115.67310436131572,117.05909729003906,530032.0
2021-12-06,118.63483342000623,119.12158088180641,116.09383913606241,116.61358642578125,1043664.0
2021-12-07,117.93359411739729,119.69909255065335,117.35608956013637,118.39559173583984,677382.0
2021-12-08,118.26359116185733,119.54234209069051,117.81809346308458,119.20408630371094,421344.0
2021-12-09,118.97309398304313,118.98134394087758,117.2570952192701,117.28184509277344,464197.0
2021-12-10,117.97484671122129,119.0885909964612,117.66134831982042,118.33784484863281,454740.0
2021-12-13,118.37908914081679,118.75858717594569,115.34308979137039,116.23409271240234,657392.0
2021-12-14,115.97009910844895,117.10859326320781,114.84809733476855,115.70610046386719,538889.0
2021-12-15,115.68134870932509,116.34959526755333,114.01484975830121,115.56584930419922,441095.0
2021-12-16,116.25885061979899,117.32309518317511,113.41260009119085,113.99010467529297,982258.0
2021-12-17,113.65184357037056,114.02309163195488,111.25109103704405,111.81209564208984,1919270.0
2021-12-20,109.81560870543912,110.37660582824778,107.50560548428172,109.58460235595703,1145768.0
2021-12-21,110.5498495358999,111.57284423925171,110.05485209879419,110.74784851074219,770389.0
2021-12-22,110.96234858920491,111.31709675626541,109.8321044290354,111.0365982055664,658949.0
2021-12-23,111.21809435129187,113.76734618126923,111.21809435129187,113.31359100341797,437743.0
2021-12-24,111.21809435129187,113.76734618126923,111.21809435129187,113.31359100341797,437743.0
2021-12-27,113.84985223605437,114.68309795637697,112.92584944762739,114.6583480834961,404466.0
2021-12-28,114.76558785849845,115.94533923391413,114.37783988271666,115.66484069824219,389743.0
2021-12-29,115.66484044086911,116.50633604601245,114.04784135168057,114.05609130859375,501184.0
2021-12-30,114.67484858457395,115.45034460546952,114.05610175939132,114.53459930419922,303918.0
2021-12-31,114.7738515981094,115.51635534531808,114.09735504848669,114.8646011352539,291829.0
2022-01-03,115.1038434559279,116.61359320518395,114.25409783762203,115.1533432006836,615258.0
2022-01-04,115.8050937154361,118.11508926526048,114.87284101778322,117.60359191894531,770270.0
2022-01-05,117.8016044808014,118.6513501702835,114.58410573376314,114.73260498046875,648774.0
2022-01-06,115.49984671830357,115.60710370440772,114.2871029160941,114.57585144042969,465154.0
2022-01-07,114.3283387530045,114.85633599021156,112.70308972301939,113.18158721923828,614300.0
2022-01-10,112.91758972610072,112.91758972610072,109.57634210768282,110.17859649658203,839815.0
2022-01-11,109.98885278634813,110.69834911509717,108.12435489984657,110.67359924316406,723946.0
2022-01-12,110.9623419631861,111.64709591850479,109.02359456197654,109.15559387207031,1197239.0
2022-01-13,109.3700983391319,111.99359982970543,109.3700983391319,110.69834899902344,495438.0
2022-01-14,109.68360903072879,110.51685475458164,108.62760691579648,109.65885162353516,422182.0
2022-01-17,109.68360903072879,110.51685475458164,108.62760691579648,109.65885162353516,422182.0
2022-01-18,108.51210762228712,108.89985563280335,105.42660838508253,106.92810821533203,751118.0
2022-01-19,107.53859985885113,108.15735418829253,106.30110626838342,106.40835571289062,512316.0
2022-01-20,106.87035250253932,108.55335130690956,104.25510853381421,104.3871078491211,738429.0
2022-01-21,104.12312133450574,106.27636795021333,103.21561840196436,105.56686401367188,986208.0
2022-01-24,104.0488634341442,109.63410727130656,103.23211010640708,109.0071029663086,1505108.0
2022-01-25,106.47435459211955,107.60460626401908,103.26510616923596,104.92335510253906,1117280.0
2022-01-26,105.60810744668014,107.02710770012793,102.29161692913252,103.68586730957031,653682.0
2022-01-27,105.16261163109372,106.42486271160007,103.43836291272657,104.36236572265625,869621.0
2022-01-28,103.91686692823475,105.74836507935103,102.3741172978022,105.68236541748047,537692.0
2022-01-31,105.31934927085383,107.48084551640072,104.93160129591885,107.39834594726562,606400.0
2022-02-01,107.82736172890212,108.03361067180087,106.36711167897104,107.34060668945312,732564.0
2022-02-02,107.23334899174132,109.41134519544858,106.42485319776031,108.58634948730469,1023555.0
2022-02-03,108.09961235768323,108.56160999842727,106.14436480818333,106.38361358642578,604964.0
2022-02-04,105.3853635369675,106.16911708661911,104.403618528149,105.3276138305664,1219863.0
2022-02-07,105.94636667668543,106.62286322753533,104.87386461064206,105.64936065673828,879675.0
2022-02-08,105.60808955975588,106.73009114704942,102.16785025983428,102.49784851074219,1223214.0
2022-02-09,102.34110392384743,105.94635004485325,102.19260470428988,105.38534545898438,959396.0
2022-02-10,103.26511194650105,105.45135826351935,102.11011787256348,102.58861541748047,976273.0
2022-02-11,102.58036642191851,102.8691149431111,99.1401189724366,100.22087097167969,1524260.0
2022-02-14,100.38587322660557,100.49312268064614,97.82012121921824,99.55261993408203,1528210.0
2022-02-15,100.75711438150515,102.14311476456254,100.49311574362902,102.1348648071289,934618.0
2022-02-16,102.16786781756586,102.1843677329468,99.24736772672439,100.36936950683594,849152.0
2022-02-17,99.45362684654538,100.07238127085846,98.29863265168387,98.75238037109375,1033131.0
2022-02-18,98.75237039397484,99.5691162063954,97.96862441235915,98.71112060546875,942638.0
2022-02-21,98.75237039397484,99.5691162063954,97.96862441235915,98.71112060546875,942638.0
2022-02-22,98.7358633091693,99.75886552404609,97.89436768474772,98.61211395263672,858129.0
2022-02-23,99.11536398587151,99.14011385783975,96.7476187000353,96.94561767578125,845321.0
2022-02-24,94.75111940455913,98.65336420059359,94.14062257613662,98.51311492919922,758180.0
2022-02-25,98.50487072491606,101.79661888477187,97.98512339468869,101.6398696899414,824135.0
2022-02-28,100.26210985848307,101.67285248005633,99.18135797675487,101.474853515625,1166237.0
2022-03-01,101.49136610778424,102.51436841934833,100.37762179372734,101.48311614990234,1092263.0
2022-03-02,102.15136696554924,104.84086068218946,102.11836713508995,104.37061309814453,950179.0
2022-03-03,105.22860355401673,106.00410706616667,104.17260903086107,105.45960235595703,737591.0
2022-03-04,104.44486970300562,105.71537079488019,103.99112200383911,105.56686401367188,700365.0
2022-03-07,105.7731095040725,105.7731095040725,101.32635991197552,101.35935974121094,969690.0
2022-03-08,101.35111221813554,102.94336155119501,99.93211952693093,100.3033676147461,1530724.0
2022-03-09,101.69761013891005,104.95635841315456,101.69761013891005,103.64461517333984,712454.0
2022-03-10,102.08536695261382,103.00936220228785,101.49136247218698,102.81136322021484,1142058.0
2022-03-11,103.57861022518165,104.4861131022092,102.44836602548808,103.14961242675781,765721.0
2022-03-14,104.1561053254025,106.20210217375468,103.71060765216127,104.64285278320312,978667.0
2022-03-15,105.59986398979486,109.67535810730666,105.3358578127306,108.24810791015625,1649346.0
2022-03-16,108.94934496177902,113.00008885913239,108.90809517737027,111.93584442138672,1777784.0
2022-03-17,110.98709556821814,113.94884525651587,110.71484698198935,113.87459564208984,1045819.0
2022-03-18,115.13684713798136,116.55584740266183,113.60235499921461,116.50634765625,2320983.0
2022-03-21,116.30009873394255,117.14984438083296,115.02959770826735,115.40909576416016,1073470.0
2022-03-22,115.25234004439032,116.47334125454148,113.92409692393815,114.08909606933594,646260.0
2022-03-23,113.60234062607518,113.60234062607518,111.70484305282126,111.944091796875,944792.0
2022-03-24,112.01010552642191,114.50985025229225,111.77910671003067,114.3613510131836,449234.0
2022-03-25,114.699591940836,114.699591940836,112.71959467853871,113.75084686279297,515907.0
2022-03-28,113.46209330952134,114.54284526062848,113.06609535523755,114.30359649658203,437743.0
2022-03-29,115.4998344025229,115.97008948336263,113.92409262345619,114.46858978271484,510760.0
2022-03-30,114.43559200015062,115.82984228525734,114.27059285803234,115.1203384399414,511718.0
2022-03-31,115.06260062602905,115.94535366175649,113.6683577311061,113.69310760498047,746569.0
2022-04-01,113.94059945416937,115.31009239240991,113.70960064530952,115.1533432006836,585812.0
2022-04-04,115.56584483505873,116.1268419239753,114.17984449293967,115.43384552001953,571927.0
2022-04-05,115.508105493898,117.05909758470695,114.83985136737323,115.3760986328125,817192.0
2022-04-06,114.43559403355579,117.11683767482796,113.92409668390039,116.33309173583984,930428.0
2022-04-07,115.65659285188343,119.4350960442399,115.47510131846222,118.48634338378906,1270376.0
2022-04-08,118.7915819242696,119.81458411811344,118.0655857142049,118.42033386230469,1148162.0
2022-04-11,118.52759682376991,119.41859227412827,117.33959535575066,117.71910095214844,905171.0
2022-04-12,117.74384478996153,118.44509117327763,115.25234257141125,115.73909759521484,814918.0
2022-04-13,115.70610081819133,118.34609480630127,115.70610081819133,118.33784484863281,607956.0
