,Open,High,Low,Close,Volume
2021-11-29,134.13605499291629,134.2348643114978,131.3691377383724,132.49566650390625,2684200.0
2021-11-30,131.45808194995075,132.41662138566326,127.61404779793926,128.45401000976562,3124500.0
2021-12-01,131.73476068152195,133.35538127314877,125.1435775097872,125.9736557006836,6040200.0
2021-12-02,126.18117356447739,128.29588598714346,124.16527799965455,126.76419830322266,3239500.0
2021-12-03,127.55474848619706,127.55474848619706,119.46152190813869,124.69889831542969,3298500.0
2021-12-06,124.47160958122858,128.32552726004536,122.3766575639082,127.91049194335938,3628200.0
2021-12-07,130.40072980468534,136.11243047718384,130.30190540168545,132.86129760742188,2773900.0
2021-12-08,132.41661128416658,139.72521382002708,131.79405074928218,133.99771118164062,3892200.0
2021-12-09,133.11822522149447,135.4997363421628,130.3315401097568,130.64776611328125,1872300.0
2021-12-10,132.3770854508524,132.80199717324965,128.20694933411622,128.7998504638672,1624000.0
2021-12-13,128.38481505185842,129.15559707488836,124.5210209894476,124.70877075195312,2337400.0
2021-12-14,122.60394684010032,124.81747613555494,120.41017790065058,121.35883331298828,2666900.0
2021-12-15,121.81340290088983,122.93993926904292,117.10965385848371,122.3470230102539,3804000.0
2021-12-16,123.39449323930737,124.42220512460581,120.2520689778588,122.96957397460938,3375100.0
2021-12-17,121.72445925581918,127.08042023432067,118.21640437060118,125.15345764160156,6718700.0
2021-12-20,122.53477304005675,126.7147856725923,120.81533559386979,124.35302734375,2659100.0
2021-12-21,125.17322665615372,130.85033715064577,125.12382199502076,129.936279296875,2378400.0
2021-12-22,129.45207231637104,130.4303796651854,127.49547269722989,129.83746337890625,1117800.0
2021-12-23,130.04498108263465,132.93047568012824,129.1061945038979,131.8632354736328,1390500.0
2021-12-24,130.04498108263465,132.93047568012824,129.1061945038979,131.8632354736328,1390500.0
2021-12-27,132.14979294349405,133.48879262195248,130.93433129757554,132.42648315429688,1643300.0
2021-12-28,132.4660251112131,133.6123217970457,131.2307955131572,131.369140625,1269900.0
2021-12-29,130.677419387465,131.41855717080895,128.325537329871,128.46388244628906,1137300.0
2021-12-30,128.46388323589434,133.37515751665327,128.42436252174062,131.62606811523438,1273700.0
2021-12-31,131.62605781916224,133.24667838546102,130.5588176786505,130.68728637695312,1220300.0
2022-01-03,131.3246736196058,135.14893961407577,129.8275759561633,132.64389038085938,2364900.0
2022-01-04,135.37129116798346,135.37129116798346,128.07849060041065,131.39878845214844,2445800.0
2022-01-05,130.46988967732986,131.52725344946862,123.42414277394522,124.03681182861328,2813600.0
2022-01-06,124.00716256906644,127.04088603487075,121.11178420938406,124.57042694091797,2258000.0
2022-01-07,124.42220888603632,126.85313225812183,123.44884737281673,123.78976440429688,1262600.0
2022-01-10,122.04068964278325,125.15346987431428,117.91996533227938,125.06452941894531,2109600.0
2022-01-11,124.62973130386672,127.9796659137771,122.25808890943881,124.51114654541016,1809500.0
2022-01-12,126.36892395772628,126.36892395772628,120.02478665834495,122.61383056640625,2087100.0
2022-01-13,127.27608382369276,127.34722412113004,121.13155550097405,121.74422454833984,2610900.0
2022-01-14,120.65722391912512,122.67311949927266,117.27763759619087,119.71845245361328,2147800.0
