,Open,High,Low,Close,Volume
2025-01-29,140.00600995442088,141.03722418841542,138.7665799528241,138.9053955078125,3279200.0
2025-01-30,139.6688880695587,140.89840807296585,138.25097228589652,139.25244140625,2792000.0
2025-01-31,138.92522920377397,139.20286031091223,136.27780856300222,136.74383544921875,4057200.0
2025-02-03,133.44198986649303,134.30462828254366,130.9631299309357,133.02554321289062,6330500.0
2025-02-04,133.85843670337255,135.72254421898725,132.1529798549932,134.453369140625,4376200.0
2025-02-05,134.04683053385745,135.1474449359673,132.6685850329956,134.06666564941406,4908700.0
2025-02-06,134.90947324697464,135.89110724661407,132.9958006030512,133.5411376953125,4289200.0
2025-02-07,133.541147266316,133.85844862905566,129.18826943090232,130.23931884765625,5756700.0
2025-02-10,130.66566334313106,131.20110556036275,129.18825737900397,130.16989135742188,4003500.0
2025-02-11,129.81294069767398,131.34983694769838,129.10895291931354,131.3300018310547,4782600.0
2025-02-12,129.2100067138672,129.83999633789062,126.81999969482422,127.5,6429000.0
2025-02-13,127.61000061035156,129.44000244140625,126.98999786376953,128.5800018310547,5325900.0
2025-02-14,128.92999267578125,129.44000244140625,127.36000061035156,127.87999725341797,4549000.0
2025-02-17,128.92999267578125,129.44000244140625,127.36000061035156,127.87999725341797,4549000.0
2025-02-18,128.0,130.64999389648438,127.75,130.11000061035156,4901600.0
2025-02-19,130.0,131.6999969482422,129.47000122070312,130.75,3893500.0
2025-02-20,128.77999877929688,130.14999389648438,127.80000305175781,128.1300048828125,6195900.0
2025-02-21,125.91000366210938,127.0,123.93000030517578,124.2699966430664,9052900.0
2025-02-24,124.30999755859375,126.70999908447266,123.69000244140625,125.7699966430664,8772900.0
2025-02-25,126.27999877929688,127.70999908447266,125.9000015258789,127.38999938964844,6404300.0
2025-02-26,127.72000122070312,127.88999938964844,123.6500015258789,124.04000091552734,7714200.0
2025-02-27,123.73999786376953,125.05000305175781,122.37000274658203,122.5,6164500.0
2025-02-28,122.80000305175781,124.52999877929688,122.36000061035156,124.23999786376953,8893600.0
2025-03-03,125.2699966430664,127.05999755859375,119.91999816894531,120.76000213623047,12120900.0
2025-03-04,117.5,118.22000122070312,112.52999877929688,117.13999938964844,15623300.0
2025-03-05,116.37000274658203,116.77999877929688,114.0999984741211,116.55999755859375,7311000.0
2025-03-06,114.9800033569336,115.9000015258789,113.26000213623047,114.05000305175781,8020200.0
2025-03-07,113.5199966430664,115.31999969482422,112.0999984741211,115.08000183105469,8050900.0
2025-03-10,114.69000244140625,115.62999725341797,111.83999633789062,113.8499984741211,8146200.0
2025-03-11,113.91999816894531,115.01000213623047,112.20999908447266,112.76000213623047,8271800.0
2025-03-12,112.98999786376953,113.4800033569336,107.0199966430664,107.27999877929688,10434200.0
2025-03-13,107.77999877929688,108.0199966430664,104.01000213623047,104.5,9700200.0
2025-03-14,105.2300033569336,105.27999877929688,103.45999908447266,104.69999694824219,7551800.0
2025-03-17,105.66000366210938,106.95999908447266,105.26000213623047,105.66999816894531,5436200.0
2025-03-18,105.45999908447266,106.25,104.48999786376953,104.58999633789062,4922200.0
2025-03-19,104.0,105.76000213623047,103.75,104.94000244140625,6331900.0
2025-03-20,104.4000015258789,106.66999816894531,103.91999816894531,104.19999694824219,5863300.0
2025-03-21,103.36000061035156,105.12000274658203,101.76000213623047,104.05999755859375,31066200.0
2025-03-24,104.98999786376953,108.4800033569336,104.94000244140625,108.3499984741211,8526100.0
2025-03-25,108.16000366210938,108.76000213623047,104.56999969482422,105.4000015258789,6837700.0
2025-03-26,105.76000213623047,106.66999816894531,104.97000122070312,106.08999633789062,5490800.0
2025-03-27,105.80000305175781,107.9800033569336,105.72000122070312,106.51000213623047,5015300.0
2025-03-28,104.48999786376953,105.38999938964844,102.37000274658203,103.6500015258789,9704400.0
2025-03-31,102.0,104.66000366210938,100.5,104.36000061035156,7069200.0
2025-04-01,104.9800033569336,105.58999633789062,103.52999877929688,104.43000030517578,6240500.0
2025-04-02,104.0199966430664,107.08999633789062,103.93000030517578,105.7699966430664,5654400.0
2025-04-03,97.75,98.44999694824219,93.0,94.27999877929688,19020400.0
2025-04-04,91.83999633789062,96.87999725341797,90.62000274658203,95.72000122070312,16229700.0
2025-04-07,91.2699966430664,97.86000061035156,90.25,94.37999725341797,13800600.0
2025-04-08,96.54000091552734,97.5,87.3499984741211,88.76000213623047,13408900.0
2025-04-09,88.0,98.4800033569336,87.87999725341797,97.69000244140625,13717800.0
2025-04-10,95.69000244140625,96.0,89.80000305175781,92.70999908447266,12187900.0
2025-04-11,92.41000366210938,92.95999908447266,88.62999725341797,92.77999877929688,10457600.0
2025-04-14,94.41999816894531,95.41000366210938,92.72000122070312,94.6500015258789,8164400.0
2025-04-15,94.04000091552734,94.9800033569336,91.95999908447266,92.08000183105469,6605600.0
2025-04-16,91.0,92.62999725341797,89.52999877929688,90.45999908447266,8048400.0
2025-04-17,90.2300033569336,93.54000091552734,90.2300033569336,93.11000061035156,5347700.0
2025-04-18,90.2300033569336,93.54000091552734,90.2300033569336,93.11000061035156,5347700.0
2025-04-21,92.63999938964844,93.91000366210938,90.8499984741211,93.77999877929688,6856600.0
2025-04-22,94.12000274658203,95.94000244140625,92.75,94.0999984741211,7200100.0
2025-04-23,96.8499984741211,97.62000274658203,91.69000244140625,92.1500015258789,9113800.0
2025-04-24,92.30000305175781,95.55999755859375,91.87999725341797,95.30999755859375,7718800.0
2025-04-25,95.01000213623047,96.8499984741211,94.69000244140625,96.58000183105469,5274900.0
2025-04-28,96.48999786376953,97.98999786376953,95.16999816894531,96.37000274658203,4662400.0
2025-04-29,95.94999694824219,97.08999633789062,95.30000305175781,96.91000366210938,3768400.0
2025-04-30,95.51000213623047,96.98999786376953,94.2300033569336,96.69999694824219,8255300.0
2025-05-01,97.11000061035156,97.52999877929688,95.55000305175781,95.97000122070312,5443700.0
2025-05-02,97.30000305175781,98.51000213623047,96.69000244140625,97.37000274658203,5294900.0
2025-05-05,96.83999633789062,96.83999633789062,93.70999908447266,94.0199966430664,6789300.0
2025-05-06,93.9000015258789,94.58999633789062,93.01000213623047,93.6500015258789,5726600.0
2025-05-07,94.12000274658203,96.12999725341797,93.94999694824219,95.48999786376953,5727400.0
2025-05-08,96.94999694824219,98.37999725341797,96.23999786376953,96.93000030517578,5006300.0
2025-05-09,96.94999694824219,98.37999725341797,96.23999786376953,96.93000030517578,5006300.0
