,Open,High,Low,Close,Volume
2021-11-29,178.75773597289523,180.36879383760856,176.42869882659286,179.17800903320312,3435100.0
2021-11-30,178.17986914378477,178.17986914378477,173.4517600241149,173.6881561279297,6267600.0
2021-12-01,175.88585061034587,176.9978233926334,169.86187867883012,169.9932098388672,2938400.0
2021-12-02,170.98261105580428,175.6669515845926,169.70427659928603,175.02777099609375,2423400.0
2021-12-03,176.02591269065798,177.41808962978035,173.15402252933953,175.75448608398438,2606400.0
2021-12-06,176.85775343974865,179.15176026111374,176.3236510851284,176.91903686523438,3006700.0
2021-12-07,178.90660753487805,180.27250519292954,178.0748122544227,179.834716796875,2250600.0
2021-12-08,180.3863452211165,181.6734442511822,178.08357384510572,179.2480926513672,1615500.0
2021-12-09,178.661436240277,182.023647711114,178.40751150426732,180.84161376953125,1931500.0
2021-12-10,182.11993681076495,183.74850985704,181.54205303558115,183.09182739257812,1887900.0
2021-12-13,181.20061213564114,183.27573819134327,180.03609341381238,180.64024353027344,1909700.0
2021-12-14,179.6683185054568,181.37569023056366,177.81210035921126,178.38998413085938,1930500.0
2021-12-15,180.9379178366492,182.50520759514885,179.0729485699309,180.16741943359375,3703400.0
2021-12-16,181.98863928518415,185.4734311328926,181.96237305057198,182.0937042236328,2932600.0
2021-12-17,184.5715595324022,186.08630338815956,180.71901427628916,180.8853759765625,5625800.0
2021-12-20,179.51948566960945,180.36004516109304,176.35865331973028,177.24298095703125,2936400.0
2021-12-21,178.84529171845654,182.18125016406924,178.3637352222245,181.33193969726562,2317000.0
2021-12-22,181.52454647506823,182.6190172211501,180.84158443809366,182.50518798828125,1716500.0
2021-12-23,183.17943528868418,186.6904935827435,183.17943528868418,185.7886505126953,2573900.0
2021-12-24,183.17943528868418,186.6904935827435,183.17943528868418,185.7886505126953,2573900.0
2021-12-27,186.40154013511147,188.78311004521547,186.1476287474513,188.34532165527344,1807200.0
2021-12-28,187.86374610000962,189.25590993166634,187.13701579134982,187.96881103515625,1375400.0
2021-12-29,187.83744590120216,189.42223740089088,187.20702968383313,187.89874267578125,1154900.0
2021-12-30,188.00383748945964,189.1245746407336,186.52411067060427,187.28585815429688,1207000.0
2021-12-31,186.6204226624242,188.61673652692943,185.39462059132117,187.67111206054688,1579900.0
2022-01-03,187.94254635854142,188.81812311932705,184.63286727159098,186.93563842773438,2319600.0
2022-01-04,187.72365771761756,191.45362337937968,187.023206976476,190.2540740966797,2741200.0
2022-01-05,189.82502025919635,190.85819429255835,187.5660309005486,187.8637237548828,2710800.0
2022-01-06,188.30153887609748,190.11398921116728,186.7867947979668,189.68495178222656,2102200.0
2022-01-07,190.30659314570977,192.1452961228183,188.40658002900486,191.01580810546875,3014000.0
2022-01-10,190.0439077647273,190.2015051431818,184.405192202547,185.38583374023438,2853800.0
2022-01-11,185.18447216197325,185.18447216197325,182.15497089963577,184.98309326171875,1771700.0
2022-01-12,185.55221682761396,186.90061245762863,183.95867414515357,184.93931579589844,1865700.0
2022-01-13,185.23701399519405,187.0582152276359,183.8098196258703,184.2826385498047,1828500.0
2022-01-14,182.32134059587503,183.13563391035754,179.93101983960318,180.84161376953125,1921600.0
2022-01-17,182.32134059587503,183.13563391035754,179.93101983960318,180.84161376953125,1921600.0
2022-01-18,179.07295127524316,180.4038182461902,176.4374568451741,180.0098114013672,2339700.0
2022-01-19,179.53701798587898,181.4632841930818,178.14485413869633,178.4075164794922,1701700.0
2022-01-20,180.11487569830308,181.23561272373965,176.96279446411322,177.12039184570312,1706800.0
2022-01-21,177.36557475729307,179.09044852816405,175.46556160171704,176.8227081298828,2570400.0
2022-01-24,174.24851404653754,179.33562588998578,171.86694435659913,178.73147583007812,3660900.0
2022-01-25,175.15912537858276,178.21487957857025,172.6462111090766,176.81396484375,3817200.0
2022-01-26,178.02225906717774,180.40381537313837,172.68123591277777,174.23976135253906,3074700.0
2022-01-27,175.64068902054387,176.63884591081597,169.7918297952596,170.58860778808594,3371000.0
2022-01-28,171.4379388925421,173.6706623887082,168.75867604123943,173.58309936523438,3066200.0
2022-01-31,173.51303193539377,177.29552966832136,172.3922948353204,177.0503692626953,4626700.0
2022-02-01,197.0135182957801,204.63979761212713,194.38678806460638,201.98680114746094,19125300.0
2022-02-02,201.95175471524317,203.40521520198905,197.6176528466723,203.2301025390625,5474000.0
2022-02-03,201.24254935959968,203.30015998793806,198.9572935946061,200.2356414794922,3503300.0
2022-02-04,199.00983421543472,199.4739021857239,195.1835680819366,196.82089233398438,3623100.0
2022-02-07,197.43381698216814,199.23750304833146,193.97527794202438,197.05731201171875,3295900.0
2022-02-08,196.77711280430958,198.35314017961443,195.39370001201115,197.17987060546875,2759600.0
2022-02-09,199.5176593822982,201.6890992288656,196.65453317791082,197.06605529785156,2130300.0
2022-02-10,194.91216028234786,196.21677457958924,191.98773685227525,193.2222900390625,3379500.0
2022-02-11,192.854508950705,193.7388499215706,185.71856456653788,186.92686462402344,3821000.0
2022-02-14,187.1019788706061,188.18768537994737,185.37709177921244,187.36465454101562,3641400.0
2022-02-15,189.09828000505266,192.16279811533101,188.86187058139294,190.22776794433594,3149000.0
2022-02-16,188.99321986023517,190.86695330342366,186.93560944728188,188.52040100097656,2226700.0
2022-02-17,187.43473650485342,187.67113262717498,183.6259719889907,184.4927978515625,2815600.0
2022-02-18,183.61966317341682,186.00972334292632,183.04640831228969,184.64271545410156,2823900.0
2022-02-21,183.61966317341682,186.00972334292632,183.04640831228969,184.64271545410156,2823900.0
2022-02-22,184.08706643347944,185.69220137364496,182.27027481184467,184.29873657226562,3558300.0
2022-02-23,184.7397316262743,186.0538253548497,180.06545303891446,180.33885192871094,2836000.0
2022-02-24,176.48476894774643,182.93173924509335,175.5499159986534,182.72889709472656,3347000.0
2022-02-25,182.77299365517044,186.60941919072894,182.44666716265863,185.1630401611328,2657100.0
2022-02-28,181.82930557938508,186.02732907177716,180.39174114923006,185.57754516601562,3536700.0
2022-03-01,184.73971652073175,185.74512618727184,179.7302972742859,181.30897521972656,2986100.0
2022-03-02,181.59117568526497,188.17925895019124,181.45007571869797,186.49476623535156,2854200.0
2022-03-03,188.62905688943906,190.7104327975471,186.8122652876014,187.35023498535156,3019500.0
2022-03-04,186.15964160347994,186.26546995204927,182.61424389590948,185.5511016845703,2442900.0
2022-03-07,182.95819616610683,184.31638941558464,176.51122587459778,177.42843627929688,4043100.0
2022-03-08,178.23102161909208,183.8489813281727,175.09132141953958,179.3951873779297,4001000.0
2022-03-09,184.32519942022802,184.57214119454054,181.95278202093084,182.36729431152344,3097600.0
2022-03-10,180.3564728848996,182.88763277014567,179.7920326278557,182.72006225585938,2284100.0
2022-03-11,183.37272959469695,184.4751531903682,179.6597744605749,179.82733154296875,2006600.0
2022-03-14,181.31779461780587,184.24583789260097,179.25406105606802,180.1800994873047,2237200.0
2022-03-15,182.9934727173924,186.2919149690601,182.16444815446508,185.674560546875,2865400.0
2022-03-16,187.50015921729408,192.27143700593334,187.4207745125701,192.17442321777344,3022000.0
2022-03-17,190.49875758100706,196.2931012502746,189.40514875766735,196.07261657714844,3520200.0
2022-03-18,194.8908281185297,195.08485572699607,191.23960210233588,193.83250427246094,6278200.0
2022-03-21,192.43021773104297,195.61401715212642,191.3366088380263,192.75653076171875,2244600.0
2022-03-22,193.65615482116976,194.37933775700543,191.62769255973362,192.6331024169922,2182100.0
2022-03-23,191.80403111710677,192.0157012568137,188.9289157036684,189.2464141845703,1939300.0
2022-03-24,189.39637261143372,190.0225551312764,188.13520648498954,189.31700134277344,1882500.0
2022-03-25,189.17588370245173,190.09309418706147,187.03277875218876,189.925537109375,1754200.0
2022-03-28,190.81626718422046,193.88541024519654,190.560510869688,193.62965393066406,2353200.0
2022-03-29,195.75514497101008,197.52783714155876,194.45869383854432,196.18728637695312,3034800.0
2022-03-30,195.79040382919385,196.05498814745354,192.76536035566957,194.20291137695312,2200200.0
2022-03-31,193.27687600841605,194.75854013940608,189.14059448242188,189.14059448242188,2858600.0
2022-04-01,189.5286451867408,189.80205752242188,179.66857573481155,182.24383544921875,3993600.0
2022-04-04,180.6122398793415,181.91751898501184,178.67197722210042,180.982666015625,3204600.0
2022-04-05,176.608227044986,178.32800484160117,172.86880206217097,173.92713928222656,6270700.0
2022-04-06,172.4895726834791,173.67136731256312,170.43465389614053,171.4400634765625,3911700.0
2022-04-07,171.48417854160783,171.48417854160783,167.14504135875347,169.94960021972656,3627900.0
2022-04-08,166.44831082811666,169.1999691156377,164.08472123444392,168.42385864257812,5465800.0
2022-04-11,167.34786365755195,171.27248807162815,166.36891118956297,168.30917358398438,2787300.0
2022-04-12,168.43264579492507,169.44688335406414,164.74614856204383,165.70745849609375,3428800.0
2022-04-13,165.32825385962317,167.6036441279326,164.63151466945834,166.57177734375,2296000.0
2022-04-14,168.5561458692899,168.70607385638874,165.66338756655313,165.8221435546875,2624300.0
2022-04-15,168.5561458692899,168.70607385638874,165.66338756655313,165.8221435546875,2624300.0
2022-04-18,165.53990067171512,166.51003867957277,163.74956608592834,165.06365966796875,2552600.0
2022-04-19,166.02496253118733,168.89126334513878,165.50462192087218,168.17689514160156,2448800.0
2022-04-20,169.31460916686606,169.97606327511266,167.78885879189295,167.94760131835938,2526000.0
2022-04-21,168.91772932567036,168.91772932567036,165.6369160677223,166.51004028320312,2618200.0
2022-04-22,166.03379268855366,168.3973956567667,164.8696404770538,165.05484008789062,3964200.0
2022-04-25,164.5962088338177,167.86819357547355,161.55350983124146,167.25083923339844,5354900.0
2022-04-26,164.64914501519604,165.2929565253586,159.48098347646697,161.4388885498047,7811800.0
2022-04-27,161.01555813597338,165.22239612976773,160.45993243752937,164.39337158203125,3978600.0
2022-04-28,166.01613679945498,168.309169221679,164.1464177050876,167.70945739746094,3176700.0
2022-04-29,164.17288339891277,166.28071635075494,158.36091060356898,158.7313232421875,4853500.0
2022-05-02,158.99590562725908,159.6220880170812,154.53329801827388,157.49661254882812,5026600.0
2022-05-03,158.0787076830501,158.71370466481102,155.706290273043,157.09092712402344,3266300.0
