,Open,High,Low,Close,Volume
2025-01-29,212.16287829362173,213.11933657262688,208.65588487378773,208.77545166015625,2159000.0
2025-01-30,214.69349866824786,221.90672802514825,213.92634053084004,221.6078338623047,3163300.0
2025-01-31,220.78092041538494,221.62776949424156,218.85804624360185,219.44586181640625,1947600.0
2025-02-03,218.1008480109717,225.05504362479564,217.7023174069891,222.89306640625,2118100.0
2025-02-04,221.298978360253,223.27167067993955,220.87057505598236,221.31890869140625,2213800.0
2025-02-05,222.7735201853727,224.29786367660452,222.17573186621226,223.93919372558594,1394700.0
2025-02-06,223.79971690633843,224.82590855576112,222.69381913238726,224.08863830566406,1151200.0
2025-02-07,224.0487864208636,225.35394186752134,223.0723978251752,224.07867431640625,1308400.0
2025-02-10,223.9292172150277,225.32405153561993,222.7535861300255,225.25430297851562,1077800.0
2025-02-11,225.2543011401362,226.05134714505704,224.2380823061905,225.911865234375,1297800.0
2025-02-12,224.89563808602912,227.56574000393422,224.6664924834022,226.55946350097656,1503500.0
2025-02-13,226.4797794477657,227.6155651332286,224.37757789282077,226.7587432861328,1146500.0
2025-02-14,227.28677524313443,229.52845864010692,226.73880515006346,226.88824462890625,1206900.0
2025-02-17,227.28677524313443,229.52845864010692,226.73880515006346,226.88824462890625,1206900.0
2025-02-18,223.15210848449655,228.75134586741663,223.15210848449655,227.50596618652344,1692900.0
2025-02-19,228.15356029167975,228.36279076964462,226.3203650278658,227.6753387451172,1256200.0
2025-02-20,227.4063224412891,228.68158997745223,225.50337870131236,228.27310180664062,1189700.0
2025-02-21,227.64544018474143,227.64544018474143,225.66279032885993,227.1871337890625,1709100.0
2025-02-24,225.79232513418756,229.77754015901962,225.6129825528279,228.83103942871094,1670300.0
2025-02-25,229.61813088739746,231.58085052877308,229.10004867078132,229.8970947265625,1931600.0
2025-02-26,228.11371757793754,230.0963523481853,226.89822576389332,227.84471130371094,1065400.0
2025-02-27,227.26685112386468,230.05650469015964,226.67903555449797,228.7613067626953,1209800.0
2025-02-28,229.1498629671849,232.17861968430879,228.85096880109776,231.91958618164062,2399500.0
2025-03-03,232.7265934064764,234.93838898656242,231.4015075713878,232.9158935546875,1920100.0
2025-03-04,233.443928038077,234.5000075753021,228.6815973535861,229.11001586914062,2205300.0
2025-03-05,227.26685028441835,230.20594332278478,226.84840453137804,229.53842163085938,1620700.0
2025-03-06,228.1834462375205,229.1000438615918,223.122221372301,225.1248016357422,1800600.0
2025-03-07,223.3414039286125,229.0502200090277,223.31151603309107,228.70152282714844,1906100.0
2025-03-10,227.1074279568303,231.38157939176648,225.45356014745198,226.9281005859375,2270400.0
2025-03-11,227.1572559007262,227.36648637810688,222.8034133607267,223.3812713623047,1797900.0
2025-03-12,224.16834430499557,224.53697182864383,221.85691230212635,222.0362548828125,1264200.0
2025-03-13,221.388653799127,223.24177930540327,220.35248942874236,222.37498474121094,1612600.0
2025-03-14,222.38999938964844,225.1199951171875,221.10000610351562,224.86000061035156,1219300.0
2025-03-17,224.8800048828125,228.7100067138672,224.25,228.19000244140625,1915900.0
2025-03-18,227.33999633789062,228.35000610351562,224.83999633789062,225.8699951171875,1306100.0
2025-03-19,225.8699951171875,228.02000427246094,225.0,227.36000061035156,1238700.0
2025-03-20,227.0800018310547,228.47000122070312,225.1699981689453,226.89999389648438,1008900.0
2025-03-21,226.14999389648438,226.39999389648438,223.8699951171875,224.91000366210938,2536500.0
2025-03-24,225.94000244140625,227.2899932861328,224.66000366210938,226.24000549316406,1519100.0
2025-03-25,226.8800048828125,227.57000732421875,225.08999633789062,227.07000732421875,1622500.0
2025-03-26,228.6300048828125,229.5399932861328,227.60000610351562,228.92999267578125,1268200.0
2025-03-27,229.97000122070312,231.47000122070312,227.7899932861328,229.02000427246094,1354100.0
2025-03-28,228.64999389648438,230.30999755859375,227.69000244140625,227.9199981689453,1265700.0
2025-03-31,228.55999755859375,232.47999572753906,228.39999389648438,231.50999450683594,1914300.0
2025-04-01,231.19000244140625,234.05999755859375,230.67999267578125,233.7899932861328,1669600.0
2025-04-02,232.92999267578125,234.8800048828125,230.47999572753906,234.55999755859375,1411300.0
2025-04-03,233.9600067138672,239.32000732421875,233.10000610351562,236.8300018310547,2216100.0
2025-04-04,235.0800018310547,236.47000122070312,225.05999755859375,225.1999969482422,4183200.0
2025-04-07,219.13999938964844,226.75,215.00999450683594,220.55999755859375,2931100.0
2025-04-08,225.7899932861328,225.7899932861328,213.66000366210938,216.47000122070312,2324700.0
2025-04-09,214.0,226.30999755859375,213.5,224.4199981689453,3277800.0
2025-04-10,222.61000061035156,228.32000732421875,220.72999572753906,226.4499969482422,2377300.0
2025-04-11,224.19000244140625,230.39999389648438,223.64999389648438,229.3800048828125,1920900.0
2025-04-14,231.27000427246094,233.14999389648438,229.9600067138672,232.3000030517578,1316800.0
2025-04-15,233.3800048828125,233.88999938964844,231.10000610351562,231.47999572753906,1323800.0
2025-04-16,232.6199951171875,233.1300048828125,228.4600067138672,229.57000732421875,1795200.0
2025-04-17,229.86000061035156,232.55999755859375,229.2899932861328,230.91000366210938,1372300.0
2025-04-18,229.86000061035156,232.55999755859375,229.2899932861328,230.91000366210938,1372300.0
2025-04-21,230.77999877929688,231.22999572753906,224.2899932861328,227.57000732421875,1447500.0
2025-04-22,228.25,231.89999389648438,227.58999633789062,229.9600067138672,1868900.0
2025-04-23,230.4499969482422,231.0,226.5,228.6300048828125,1797200.0
2025-04-24,229.64999389648438,229.64999389648438,225.3300018310547,227.47000122070312,1869900.0
2025-04-25,229.47000122070312,229.6699981689453,225.0,228.30999755859375,2115700.0
2025-04-28,229.22000122070312,229.41000366210938,226.47000122070312,229.0800018310547,2357000.0
2025-04-29,224.0,229.92999267578125,220.6999969482422,228.8000030517578,2250100.0
2025-04-30,229.0,233.86000061035156,226.86000061035156,233.36000061035156,1955000.0
2025-05-01,232.00999450683594,234.60000610351562,229.66000366210938,233.39999389648438,1546700.0
2025-05-02,235.8300018310547,235.99000549316406,232.5,233.94000244140625,1227900.0
2025-05-05,233.83999633789062,235.63999938964844,232.0500030517578,234.7899932861328,1031500.0
2025-05-06,232.6699981689453,235.74000549316406,232.6699981689453,234.07000732421875,1231700.0
2025-05-07,233.64999389648438,236.3000030517578,233.6300048828125,235.50999450683594,1663700.0
2025-05-08,236.3800048828125,237.3800048828125,232.83999633789062,233.1300048828125,1845600.0
