#{"t_start": 1750359566.5776198, "env_id": "None"}
r,l,t
-0.275105,63,15.321167
-1.293739,561,38.896247
-0.787982,315,52.320874
-3.250524,809,91.485559
-2.255075,477,113.444967
-0.622265,643,141.850359
-0.463274,209,152.092594
-1.488251,401,170.373372
-5.632465,1067,220.645352
-1.705596,725,254.880883
0.333137,632,283.727915
-0.360119,147,290.234186
-5.191255,1043,338.653868
-4.944515,948,381.944532
-0.986913,471,403.951803
-0.267129,341,418.64852
-0.188935,251,430.923053
0.645596,412,450.926578
-0.238875,102,455.423518
-0.972887,555,480.208272
-0.577525,432,500.651901
-0.233869,95,504.93787
-0.372095,158,512.198211
-4.283163,789,548.400723
-1.339171,869,588.27988
-2.150752,678,618.791321
-1.025614,471,641.016181
0.074069,80,644.681646
-0.419585,361,660.546292
-1.329203,477,683.602505
-5.540908,1077,732.853875
-1.120545,696,764.029298
0.657684,491,788.19459
-0.692277,840,827.746229
-0.145263,24,828.878412
0.207759,492,850.803504
-3.767239,998,896.994709
-5.728849,929,940.067086
-4.134654,1030,987.652803
-0.085086,20,988.64329
-3.235258,962,1034.487669
0.091737,443,1055.279021
-6.1072,1094,1105.802277
0.200485,440,1123.838885
-3.286722,998,1170.553378
-1.330472,721,1205.273155
1.526759,398,1223.290088
0.358682,118,1228.428681
-3.157005,824,1265.796476
-6.704206,1115,1317.079569
-3.43349,1077,1367.150235
-2.078441,1014,1414.259035
-0.735478,167,1422.594292
-4.80229,1037,1470.813097
-0.330518,444,1492.190362
-1.118605,740,1527.62524
-5.631876,968,1573.160937
0.436277,393,1592.255727
-0.70212,484,1613.639797
-0.165724,622,1642.296343
-6.807651,1152,1695.932321
0.318519,635,1725.783369
-0.23187,79,1729.588039
1.21243,188,1737.904307
0.694029,217,1747.752338
-0.653324,719,1781.495818
-2.075635,666,1811.42036
-3.569952,667,1843.064972
-0.318434,513,1867.440138
-5.373288,1133,1920.336408
-0.096881,326,1934.910726
-2.582013,842,1973.256207
-0.675944,231,1983.743395
-1.269171,697,2016.255976
0.09711,165,2023.684134
-0.021807,1,2023.748784
1.575171,301,2037.139177
-0.742321,710,2069.475033
-2.349343,869,2109.998396
-2.882895,1018,2156.24298
-5.00163,967,2201.54201
-0.032266,582,2228.056996
-2.590851,1091,2276.703604
0.679039,497,2300.440048
0.239294,354,2315.588159
-2.898437,1002,2362.859754
-0.347667,85,2366.525388
-2.18288,415,2386.718626
-0.604502,759,2421.037315
-0.606399,573,2447.644405
0.638676,241,2458.35303
0.056304,90,2461.951329
-5.431878,1049,2510.564581
-4.057076,1014,2556.841069
-4.032198,1057,2604.591718
-2.605052,905,2645.585013
-1.21227,701,2676.087178
0.014267,7,2676.420207
-4.097939,1031,2726.216426
-0.106784,241,2737.460508
-1.248094,888,2778.293866
0.915645,344,2793.875678
-1.294796,753,2826.829845
-3.86326,926,2870.491469
-2.262685,958,2913.938978
1.267012,385,2931.044417
0.450505,317,2946.686276
0.338282,201,2955.671304
1.127262,441,2975.797849
-0.55165,818,3013.780642
-0.193276,453,3034.099039
-0.120913,380,3051.720581
0.008935,147,3058.636102
-2.193536,995,3104.590067
1.8996,564,3131.304935
0.733027,532,3154.060675
1.250601,517,3179.221754
-0.054048,192,3188.074596
1.147234,399,3207.068655
1.332642,572,3233.73456
0.729188,631,3262.735042
0.955403,366,3280.483533
0.174149,288,3292.524757
2.425712,425,3311.77503
2.476531,533,3338.009166
0.571339,635,3364.903147
1.021653,466,3387.100919
2.230377,576,3413.412031
-3.014263,1018,3461.699909
-0.365357,894,3503.077733
