#{"t_start": 1747166143.7181695, "env_id": "None"}
r,l,t
19.162054,790,7.928373
-8.922388,366,8.752985
-6.808858,43,8.907184
-10.439638,115,9.221414
-21.499743,725,12.541141
-4.011407,387,15.923934
8.453116,281,17.016482
-6.067913,544,19.01107
-11.085072,70,19.279558
-5.762113,385,20.776076
-6.782178,97,21.115533
2.387959,508,24.379413
1.488302,303,25.427741
3.361467,746,28.125382
12.014727,617,30.202695
2.189946,42,30.293449
4.905511,512,33.884856
5.733093,230,34.826726
-9.36376,268,35.973006
2.770694,70,36.108576
1.560258,377,36.908276
-3.86046,108,37.165418
13.66228,762,40.680695
-0.808864,413,42.112597
2.935031,74,42.319259
-2.131664,56,42.509455
-1.479988,83,42.805954
-1.498288,627,45.116701
2.582816,20,45.218265
17.326371,285,45.975562
-0.746102,26,46.087414
5.616194,617,49.788306
-1.076196,205,50.484404
-1.610261,172,50.958863
-2.71152,473,52.679285
15.745142,702,54.723647
1.726663,775,59.109191
19.198584,483,60.621426
8.841104,531,63.325238
17.571949,728,68.031854
17.0946,436,69.153102
18.602931,628,71.470469
9.827576,608,73.761377
1.515775,756,78.106774
-3.10043,509,79.903126
22.780166,727,82.978835
10.378313,500,86.605967
17.841832,688,89.576559
-4.310664,458,91.489511
2.75649,257,95.792682
11.572059,209,96.600789
13.606751,753,101.464718
2.462092,266,102.365653
10.476113,747,105.695256
15.768536,287,106.977971
15.462888,682,111.307324
3.869129,344,112.378721
3.560951,179,112.988059
-3.581148,680,115.207154
4.41847,195,115.86928
12.453732,132,118.444411
7.432367,233,119.476991
23.180686,573,121.779242
18.524851,370,123.535836
9.197225,797,129.175792
7.211826,527,130.752707
20.733047,576,132.522852
14.22584,410,133.937366
1.77581,157,134.53714
21.190563,555,138.945822
10.187499,484,140.880995
19.694365,415,142.601326
6.875874,277,143.857085
8.109705,376,145.328918
30.595132,473,148.748041
17.630563,183,149.453953
28.057777,269,150.247718
27.231756,519,152.297571
20.278424,281,153.145896
6.612294,107,153.620838
8.881051,36,153.796596
7.332361,292,154.867689
44.935469,635,159.713487
29.352066,506,162.104688
27.607001,288,163.25266
20.205215,534,165.69441
19.918797,158,166.415558
34.845347,623,170.731307
10.378387,309,172.239578
25.113328,678,175.043424
30.111739,614,179.348319
12.472881,91,179.564495
8.984269,402,181.165794
47.611345,801,184.233088
0.111409,1,184.239466
0.107684,44,184.477994
23.03012,248,185.368568
25.405468,361,186.567723
0.260843,6,186.587815
31.712311,643,191.140934
-0.694627,5,191.14859
36.355124,545,196.619908
55.870847,633,198.954031
56.987937,801,203.413904
25.916558,316,204.606783
38.078282,478,206.211397
51.055835,587,208.199251
47.879801,771,211.907296
18.580089,166,212.241575
37.232877,292,212.858577
8.916693,32,212.895334
52.217035,446,213.524892
24.795933,383,214.019377
40.988472,592,216.204141
45.17573,663,217.077774
59.865716,737,218.076494
19.976898,140,218.262687
23.524637,153,219.9812
11.874968,67,220.115048
65.976956,697,221.410883
50.575406,533,222.332584
24.943949,255,222.765129
35.504501,310,223.162768
13.872203,62,224.732528
37.889131,250,225.10629
15.835872,108,225.286634
32.805591,212,225.614285
39.043153,380,226.167566
54.018832,726,227.543813
13.284742,100,227.759771
5.482272,30,227.808201
3.127677,14,227.834955
39.216178,418,230.56465
43.577893,463,231.465912
29.077454,242,232.047684
59.246177,666,233.240993
65.615587,794,238.311602
64.817983,412,240.216338
45.635961,351,241.892483
14.589257,50,242.003596
40.45282,258,243.224568
68.590963,498,245.080458
51.321736,403,248.573851
